measure,quantile,time,sex,age,value,ethnic
lx,2.50%,2022-2024,Female,102,796,NZ total
lx,2.50%,2022-2024,Female,103,449,NZ total
lx,2.50%,2022-2024,Female,104,240,NZ total
lx,2.50%,2022-2024,Female,105+,119,NZ total
lx,2.50%,2022-2024,Male,0,100000,NZ total
lx,2.50%,2022-2024,Male,1,99415,NZ total
lx,2.50%,2022-2024,Male,2,99387,NZ total
lx,2.50%,2022-2024,Male,3,99367,NZ total
lx,2.50%,2022-2024,Male,4,99350,NZ total
lx,2.50%,2022-2024,Male,5,99337,NZ total
lx,2.50%,2022-2024,Male,6,99326,NZ total
lx,2.50%,2022-2024,Male,7,99317,NZ total
lx,2.50%,2022-2024,Male,8,99308,NZ total
lx,2.50%,2022-2024,Male,9,99300,NZ total
lx,2.50%,2022-2024,Male,10,99291,NZ total
lx,2.50%,2022-2024,Male,11,99281,NZ total
lx,2.50%,2022-2024,Male,12,99270,NZ total
lx,2.50%,2022-2024,Male,13,99257,NZ total
lx,2.50%,2022-2024,Male,14,99241,NZ total
lx,2.50%,2022-2024,Male,15,99221,NZ total
lx,2.50%,2022-2024,Male,16,99196,NZ total
lx,2.50%,2022-2024,Male,17,99163,NZ total
lx,2.50%,2022-2024,Male,18,99120,NZ total
lx,2.50%,2022-2024,Male,19,99065,NZ total
lx,2.50%,2022-2024,Male,20,99004,NZ total
lx,2.50%,2022-2024,Male,21,98937,NZ total
lx,2.50%,2022-2024,Male,22,98868,NZ total
lx,2.50%,2022-2024,Male,23,98796,NZ total
lx,2.50%,2022-2024,Male,24,98721,NZ total
lx,2.50%,2022-2024,Male,25,98644,NZ total
lx,2.50%,2022-2024,Male,26,98567,NZ total
lx,2.50%,2022-2024,Male,27,98491,NZ total
lx,2.50%,2022-2024,Male,28,98414,NZ total
lx,2.50%,2022-2024,Male,29,98339,NZ total
lx,2.50%,2022-2024,Male,30,98262,NZ total
lx,2.50%,2022-2024,Male,31,98185,NZ total
lx,2.50%,2022-2024,Male,32,98104,NZ total
lx,2.50%,2022-2024,Male,33,98022,NZ total
lx,2.50%,2022-2024,Male,34,97937,NZ total
lx,2.50%,2022-2024,Male,35,97851,NZ total
lx,2.50%,2022-2024,Male,36,97763,NZ total
lx,2.50%,2022-2024,Male,37,97669,NZ total
lx,2.50%,2022-2024,Male,38,97569,NZ total
lx,2.50%,2022-2024,Male,39,97467,NZ total
lx,2.50%,2022-2024,Male,40,97358,NZ total
lx,2.50%,2022-2024,Male,41,97241,NZ total
lx,2.50%,2022-2024,Male,42,97110,NZ total
lx,2.50%,2022-2024,Male,43,96965,NZ total
lx,2.50%,2022-2024,Male,44,96806,NZ total
lx,2.50%,2022-2024,Male,45,96632,NZ total
lx,2.50%,2022-2024,Male,46,96446,NZ total
lx,2.50%,2022-2024,Male,47,96243,NZ total
lx,2.50%,2022-2024,Male,48,96027,NZ total
lx,2.50%,2022-2024,Male,49,95791,NZ total
lx,2.50%,2022-2024,Male,50,95529,NZ total
lx,2.50%,2022-2024,Male,51,95245,NZ total
lx,2.50%,2022-2024,Male,52,94939,NZ total
lx,2.50%,2022-2024,Male,53,94606,NZ total
lx,2.50%,2022-2024,Male,54,94247,NZ total
lx,2.50%,2022-2024,Male,55,93852,NZ total
lx,2.50%,2022-2024,Male,56,93425,NZ total
lx,2.50%,2022-2024,Male,57,92955,NZ total
lx,2.50%,2022-2024,Male,58,92446,NZ total
lx,2.50%,2022-2024,Male,59,91894,NZ total
lx,2.50%,2022-2024,Male,60,91296,NZ total
lx,2.50%,2022-2024,Male,61,90652,NZ total
lx,2.50%,2022-2024,Male,62,89963,NZ total
lx,2.50%,2022-2024,Male,63,89217,NZ total
lx,2.50%,2022-2024,Male,64,88418,NZ total
lx,2.50%,2022-2024,Male,65,87560,NZ total
lx,2.50%,2022-2024,Male,66,86632,NZ total
lx,2.50%,2022-2024,Male,67,85639,NZ total
lx,2.50%,2022-2024,Male,68,84575,NZ total
lx,2.50%,2022-2024,Male,69,83420,NZ total
lx,2.50%,2022-2024,Male,70,82187,NZ total
lx,2.50%,2022-2024,Male,71,80848,NZ total
lx,2.50%,2022-2024,Male,72,79393,NZ total
lx,2.50%,2022-2024,Male,73,77821,NZ total
lx,2.50%,2022-2024,Male,74,76108,NZ total
lx,2.50%,2022-2024,Male,75,74248,NZ total
lx,2.50%,2022-2024,Male,76,72231,NZ total
lx,2.50%,2022-2024,Male,77,70043,NZ total
lx,2.50%,2022-2024,Male,78,67672,NZ total
lx,2.50%,2022-2024,Male,79,65091,NZ total
lx,2.50%,2022-2024,Male,80,62302,NZ total
lx,2.50%,2022-2024,Male,81,59282,NZ total
lx,2.50%,2022-2024,Male,82,56031,NZ total
lx,2.50%,2022-2024,Male,83,52542,NZ total
lx,2.50%,2022-2024,Male,84,48832,NZ total
lx,2.50%,2022-2024,Male,85,44910,NZ total
lx,2.50%,2022-2024,Male,86,40801,NZ total
lx,2.50%,2022-2024,Male,87,36562,NZ total
lx,2.50%,2022-2024,Male,88,32249,NZ total
lx,2.50%,2022-2024,Male,89,27945,NZ total
lx,2.50%,2022-2024,Male,90,23742,NZ total
lx,2.50%,2022-2024,Male,91,19744,NZ total
lx,2.50%,2022-2024,Male,92,16030,NZ total
lx,2.50%,2022-2024,Male,93,12662,NZ total
lx,2.50%,2022-2024,Male,94,9721,NZ total
lx,2.50%,2022-2024,Male,95,7228,NZ total
lx,2.50%,2022-2024,Male,96,5194,NZ total
lx,2.50%,2022-2024,Male,97,3592,NZ total
lx,2.50%,2022-2024,Male,98,2388,NZ total
lx,2.50%,2022-2024,Male,99,1519,NZ total
lx,2.50%,2022-2024,Male,100,925,NZ total
lx,2.50%,2022-2024,Male,101,534,NZ total
lx,2.50%,2022-2024,Male,102,292,NZ total
lx,2.50%,2022-2024,Male,103,150,NZ total
lx,2.50%,2022-2024,Male,104,72,NZ total
lx,2.50%,2022-2024,Male,105+,31,NZ total
lx,50%,2022-2024,Female,0,100000,NZ total
lx,50%,2022-2024,Female,1,99579,NZ total
lx,50%,2022-2024,Female,2,99560,NZ total
lx,50%,2022-2024,Female,3,99545,NZ total
lx,50%,2022-2024,Female,4,99533,NZ total
lx,50%,2022-2024,Female,5,99524,NZ total
lx,50%,2022-2024,Female,6,99516,NZ total
lx,50%,2022-2024,Female,7,99509,NZ total
lx,50%,2022-2024,Female,8,99503,NZ total
lx,50%,2022-2024,Female,9,99496,NZ total
lx,50%,2022-2024,Female,10,99490,NZ total
lx,50%,2022-2024,Female,11,99483,NZ total
lx,50%,2022-2024,Female,12,99476,NZ total
lx,50%,2022-2024,Female,13,99467,NZ total
lx,50%,2022-2024,Female,14,99457,NZ total
lx,50%,2022-2024,Female,15,99444,NZ total
lx,50%,2022-2024,Female,16,99428,NZ total
lx,50%,2022-2024,Female,17,99407,NZ total
lx,50%,2022-2024,Female,18,99381,NZ total
lx,50%,2022-2024,Female,19,99350,NZ total
lx,50%,2022-2024,Female,20,99315,NZ total
lx,50%,2022-2024,Female,21,99278,NZ total
lx,50%,2022-2024,Female,22,99240,NZ total
lx,50%,2022-2024,Female,23,99200,NZ total
lx,50%,2022-2024,Female,24,99160,NZ total
lx,50%,2022-2024,Female,25,99118,NZ total
lx,50%,2022-2024,Female,26,99076,NZ total
lx,50%,2022-2024,Female,27,99035,NZ total
lx,50%,2022-2024,Female,28,98993,NZ total
lx,50%,2022-2024,Female,29,98953,NZ total
lx,50%,2022-2024,Female,30,98912,NZ total
lx,50%,2022-2024,Female,31,98871,NZ total
lx,50%,2022-2024,Female,32,98829,NZ total
lx,50%,2022-2024,Female,33,98786,NZ total
lx,50%,2022-2024,Female,34,98740,NZ total
lx,50%,2022-2024,Female,35,98692,NZ total
lx,50%,2022-2024,Female,36,98641,NZ total
lx,50%,2022-2024,Female,37,98586,NZ total
lx,50%,2022-2024,Female,38,98529,NZ total
lx,50%,2022-2024,Female,39,98468,NZ total
lx,50%,2022-2024,Female,40,98400,NZ total
lx,50%,2022-2024,Female,41,98327,NZ total
lx,50%,2022-2024,Female,42,98244,NZ total
lx,50%,2022-2024,Female,43,98150,NZ total
lx,50%,2022-2024,Female,44,98043,NZ total
lx,50%,2022-2024,Female,45,97926,NZ total
lx,50%,2022-2024,Female,46,97800,NZ total
lx,50%,2022-2024,Female,47,97664,NZ total
lx,50%,2022-2024,Female,48,97515,NZ total
lx,50%,2022-2024,Female,49,97352,NZ total
lx,50%,2022-2024,Female,50,97173,NZ total
lx,50%,2022-2024,Female,51,96979,NZ total
lx,50%,2022-2024,Female,52,96769,NZ total
lx,50%,2022-2024,Female,53,96536,NZ total
lx,50%,2022-2024,Female,54,96283,NZ total
lx,50%,2022-2024,Female,55,96012,NZ total
lx,50%,2022-2024,Female,56,95716,NZ total
lx,50%,2022-2024,Female,57,95395,NZ total
lx,50%,2022-2024,Female,58,95046,NZ total
lx,50%,2022-2024,Female,59,94668,NZ total
lx,50%,2022-2024,Female,60,94259,NZ total
lx,50%,2022-2024,Female,61,93814,NZ total
lx,50%,2022-2024,Female,62,93332,NZ total
lx,50%,2022-2024,Female,63,92809,NZ total
lx,50%,2022-2024,Female,64,92244,NZ total
lx,50%,2022-2024,Female,65,91629,NZ total
lx,50%,2022-2024,Female,66,90968,NZ total
lx,50%,2022-2024,Female,67,90253,NZ total
lx,50%,2022-2024,Female,68,89480,NZ total
lx,50%,2022-2024,Female,69,88651,NZ total
lx,50%,2022-2024,Female,70,87756,NZ total
lx,50%,2022-2024,Female,71,86785,NZ total
